Employer,Employer Industry,Description,Website,Job Titles,Combined Majors
Civilian Careers in STEM- Eglin Air Force Base,Defense,"The 350th Spectrum Warfare Wing is located at Eglin Air Force Base, just miles from the emerald-green waters of Destin, Fl. The newest wing in the US Air Force activated 25 June 2021 to support the consolidation and modernization of the Department of the Air Force electromagnetic spectrum enterprise and is responsible for providing operational, technical, and maintenance electronic warfare expertise for the CAF and for systems engineering, testing, evaluation, tactics development, employment, capability, and technology assessment. This includes the wartime responsibility for emergency reprogramming and dissemination of Electronic Warfare system mission data software for CAF aircraft. ",https://www.350sww.af.mil,None,"Aeroacoustics, Bioinformatics, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Computer Science, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Keyboard, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering, MIS, Telecommunications, Track - Computer Language"
Kohler Company,Manufacturing,"A spirit of innovation has defined us since 1873. Today, we manufacture smart kitchen and bath products, build powerful engines and generators, and host world-class hospitality experiences. We believe that better business means a better world. Fueled by more than 38,000 associates worldwide, we’re driving change in our communities. 
Our strength is our people. With you in mind, we believe in:
·   A diverse and inclusive workplace
·   Learning and development as a way of life
·   Meaningful career growth
·   Promoting a healthy life
·   Opportunities to contribute to the greater good
We’re not just a workplace and you’re more than just an employee. With 30 diverse brands in 50+ countries, we offer a world of possibilities. ",https://www.kohlercompany.com,"Co-op, Intern","Electrical Engineering, Global Supply Chain Mgmt., Major - Mechanical Engineering, Mechanical Engineering"
Mississippi Department of Environmental Quality,"Government - Local, State & Federal","The mission of the Mississippi Department of Environmental Quality is to safeguard the health, safety, and welfare of present and future generations of Mississippians by conserving and improving our environment and fostering wise economic growth through focused research and responsible regulation.",http://www.deq.state.ms.us,None,
Gränges Americas,Manufacturing,"Gränges is a global leader in aluminum engineering, manufacturing and innovation. Our vision is to transform the world through innovative aluminum engineering. We believe in the individual’s contribution to the success of the company. Working at Gränges means being surrounded by proud, skilled and motivated colleagues - in a safe work environment. In North America we specialize in rolled products for the HVAC, container and automotive industry. Visit us at www.granges.com.

",https://www.granges.com/,"Electrical Engineer , Mechanical Engineer , Mechanical Process Engineer ",
PACCAR,Transportation & Logistics,"PACCAR is a Fortune 500 company established in 1905. PACCAR Inc is recognized as a global leader in the commercial vehicle, financial, and customer service fields with internationally recognized brands such as Kenworth, Peterbilt, and DAF trucks. PACCAR is a global technology leader in the design, manufacture and customer support of premium light-, medium- and heavy-duty trucks under the Kenworth, Peterbilt and DAF nameplates and also provides customized financial services, information technology and truck parts related to its principal business.",http://www.paccar.com,"Engineering, Manufacturing, Information Technology, and all job titles",
Southern Farm Bureau Life Insurance,Insurance,"Southern Farm Bureau Life Insurance, ""The Farm"",  is the corporate headquarters for the life insurance products that our Farm Bureau agents sell. While our Farm Bureau agents are contract employees - they work for themselves; life insurance is just one of many different types of insurance that they sell- our corporate office has over 70 different departments and around 650 employees. 

",http://sfbli.com/careers,None,
"Carlson Consulting Engineers, Inc.",Civil Engineering,"Carlson Consulting Engineers is a full-service firm specializing in complete construction solutions. We are nationally recognized leaders in civil engineering, planning, design and development services.

Since our founding in 1995, we have grown to a firm of over 30employees licensed in 30 states. Our experience spans many industries and a wide range of projects, from residential subdivisions to car dealerships to commercial shopping centers. Our work is defined by its quality, innovation and style.

We maintain our industry leadership through ongoing education, advanced technology, and strategic partnerships. ",http://www.carlsonconsulting.net,Civil Engineer Project Manager; Civil Engineer Intern,"Civil Engineering, Computational Hydroscience, Environmental Engineering"
Constellium - Rolled Products,Manufacturing,"Constellium Muscle Shoals is an aluminum manufacturing plant in Alabama with over 1,200 employees. Our world-class can recycling center has the capacity to recycle nearly 20 billion cans per year. Our main product is aluminum can sheet for the packaging industry, particularly for beverage containers.",http://www.constellium.com,Engineering,"Aeroacoustics, Chemical Engineering, Computational Hydroscience, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
SSAB Americas,Manufacturing,"WHO WE ARE:
SSAB is a global steel company based in Sweden with operations in 50 countries. We are recruiting for our mill on the beautiful Gulf Coast!

OUR CO-OP/INTERN OPPORTUNITIES:
•	Engineering - Metallurgical, Automation, Electrical, Computer
•	Data & Computer Science
•	HR

WE ARE AN INDUSTRY SUSTAINABILITY LEADER:
At SSAB, Fossil-free™ steel is produced using the revolutionary HYBRIT Technology, which replaces coal in the iron ore reduction process with hydrogen. The result is the removal of fossil carbon emissions. 

WHAT WE OFFER:
•	Pay $21.96-$23.96/hr - plus bonuses
•	Housing, utilities provided
•	Health insurance available
•	Professional development/Career readiness training	
•	Learn from industry leaders
",http://www.ssab.com/,"Materials Science/Metallugy Internship or Co-Op, Automation Engineering Co-Op, Electrical Engineering Co-Op, Data Science Internship or Co-Op, Human Resources Co-Op","Bioinformatics, Business Administration, Computer Engineering, Computer Science, Electrical Engineering, Human Resource Management, Management, Manufacturing, Materials, Materials Science and Engr."
Milwaukee Tool,CPG - Consumer Packaged Goods,"Since the company began in 1924, Milwaukee Tool has led the industry in developing innovative solutions that deliver increased productivity and unmatched durability for professional construction users. Whether it is through our world-leading M12™ and M18™ cordless systems, the ground-breaking performance of our M12 and M18 FUEL™ products, jobsite lighting, time-saving accessories, or innovative hand tool and storage products, we are dedicated to delivering a continuous flow of advanced, trade-specific solutions.",http://www.milwaukeetool.jobs,"Summer 2024: Manufacturing Engineering Intern (MS) , Summer 2024: Manufacturing Engineering Intern (WI), Summer 2024: Continuous Improvement Intern (MS), Operations Development Program , Summer 2024: IT Analyst Intern, Summer 2024: IT Data Analytics Intern, Summer 2024: IT Security Intern, Summer 2024: IT Software Engineer Intern, Summer 2024: IT Systems Administrator Intern, Associate Software Engineer, EDP - Materials Engineer, EDP - Quality Engineer , EDP - Reliability Engineer, EDP - Packaging Engineer , EDP - Automation Engineer, EDP - Mechanical Design Engineer, Summer 2024: Quality & Reliability Engineering Intern, Summer 2024: Mobile App Developer (One-Key) Intern, Summer 2024: Web Developer (One-Key) Intern, Summer 2024: Procurement Intern, Associate Supply Chain Analyst","Aeroacoustics, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Carroll Daniel Construction,Construction,"Carroll Daniel Construction Company is a commercial construction services firm with offices in Greenville, South Carolina, Atlanta, and Gainesville, Georgia.  The company provides project planning, design and construction for industrial and public markets.  Founded in 1946, Carroll Daniel is a nationally recognized leader in the construction industry, consistently ranking among the nation’s Top 400 contractors by Engineering News Record Magazine and is named one of Atlanta Business Chronicle’s Best Places to Work. To learn more about Carroll Daniel Construction, visit www.carrolldaniel.com. ",http://www.carrolldaniel.com,Project Engineer,
"Waggoner Engineering, Inc.",Civil Engineering,"Waggoner Engineering, Inc., as one of Mississippi’s largest engineering firms.  Most of our engineering staff works from our Corporate Headquarters, but we also have fully staffed offices in Hernando and Gulfport, Mississippi; New Orleans, Louisiana; Memphis, Tennessee and Washington DC. Our team of more than 100 professionals consists of civil, transportation, environmental, water, wastewater, and construction engineers; registered land surveyors, program managers, planners, economic development and strategic funding professionals. ",http://www.waggonereng.com,None,"Child Nutrition, Civil Engineering, Computational Hydroscience, Environmental Engineering"
First Solar,Utilities and Renewable Energy,"First Solar is a leading global provider of comprehensive photovoltaic (PV) solar systems which use its advanced module and system technology. The Company's integrated power plant solutions deliver an economically attractive alternative to fossil-fuel electricity generation today. From raw material sourcing through end-of-life module recycling, First Solar's renewable energy systems protect and enhance the environment. For more information about First Solar, please visit www.firstsolar.com. 

https://bit.ly/FSAmericasSolarCompany
https://bit.ly/20Years25GWShipped

",http://www.firstsolar.com/careers,"Manufacturing Engineering Technician, Manufacturing Engineer I, Operations Engineer I, EHSS Operations Manager, IT Specialist I, IT Supervisor, IT Analyst II, Operations Manager, Purchasing Supervisor, IT Lead, Network Administrator I and II","Chemical Engineering, Chemistry, Electrical Engineering, Forensic Chemistry, Major - Mechanical Engineering, Major - Physics, Manufacturing, Materials, Materials Science and Engr., Mechanical Engineering, Medicinal Chemistry, Physics, Science, Secondary Chemistry Education"
Brasfield & Gorrie,Construction,"Founded in 1964, Brasfield & Gorrie is one of the nation’s largest privately held construction firms, providing general contracting, design-build, and construction management services for a wide variety of markets. We are skilled in construction best practices, including virtual design and construction, integrated project delivery, and Lean construction, but we are best known for our preconstruction and self-perform expertise and exceptional client service. Brasfield & Gorrie has 12 offices and more than 3,200 employees. Our 2021 revenues were $4.2 billion. Engineering News-Record ranks Brasfield & Gorrie 22nd among the nation’s “Top 400 Contractors” for 2021. Brasfield & Gorrie is ENR Southeast's 2021 Contractor of the Year.",http://www.brasfieldgorrie.com/students,"New Graduate - Construction Assistant Project Manager 2023, Spring, Summer, Fall 2024 - Student Co-op & Internship Positions (BSCI, CIVL, ELEC, INSY, MECH), Spring, Summer, Fall 2024 - Student Co-op/Intern Positions (BSCI, CIVL, ELEC, INSY, MECH), Student Co-op/Intern Positions (BSCI, BSCMM, CIVL, MECH)",
Modine Manufacturing Grenada,Manufacturing,"Modine Manufacturing Company has been leading the way in thermal management since 1916. We design, manufacture, and test heat transfer products for a wide variety of applications and markets. We’re at work in practically every corner of the world, delivering the solutions our customers need, where they need them.

",https://www.modine.com,Engineering Co-op ,"Engineering, General Engineering, Major - Mechanical Engineering, Mechanical Engineering"
FHLB Dallas,Financial Services,"We are one of 11 Federal Home Loan Banks created by Congress in 1932. We are owned by our members, which consist of banks, credit unions, insurance companies and other financial institutions. We provide members with low-cost funding and access to credit to support their lending activities. We support the creation of affordable housing and homeownership by offering various grant programs through our members. We are committed to excellent service and the everyday practice of our company values.

Take your development to the next level by applying to intern at one of the 100 Best Companies to Work for in Texas. All interns will have the opportunity to attend workshops, trainings and other beneficial programs offered to full-time employees.",https://www.fhlb.com/about-us/careers,None,
Advanced Distributor Products (ADP),Manufacturing,"ADP is a division of Lennox International Inc. (LII). LII is a publicly traded company, listed on the New York Stock Exchange under the symbol “LII”. LII’s various businesses design, manufacture, and market a broad range of products for the residential and light commercial, heating, ventilation, air conditioning, and refrigeration markets, also known as HVACR. LII successfully operates three key business segments with a common set of core values; Integrity, Respect & Excellence",https://www.adpnow.com/,Manufacturing Engineering Intern,"Aeroacoustics, Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Gresham Smith,Design,"Gresham Smith has operated as a privately-held company since our founding in 1967. Our no-debt business model means we fund our operations and growth strategies through reinvestment of our profits.

As a multimarket firm, we touch many areas of life: from designing highways and bridges that connect people, to clean water systems, to hospitals and corporate campuses of the future. That’s why we’re able to offer endless opportunities for people to hone their skills and strengthen their understanding of different disciplines and perspectives. Behind all the hard work is a team of really sharp, down-to-earth people who love a good challenge – and a good time.",http://www.greshamsmith.com,None,"Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
PepsiCo,CPG - Consumer Packaged Goods,"A career at PepsiCo means working in a culture where everyone’s invited. Here, you can dare to be yourself. No matter who you are or where you’re from, you can influence the people around you and the world at large. By showing up, you’ll have the opportunity learn, develop, and grow our unique skill sets at work. Our supportive teams can fuel your professional goals to make a global impact.  
 
Join us. Dare for Better. 
",http://www.pepsico.com,"Sales Associate Designate, Supply Chain Associate Designate, Field Sales Intern, Field Supply Chain Intern",
Atmos Energy Corporation,Utilities and Renewable Energy,"At Atmos Energy, thousands of people work together to bring clean and reliable natural gas to approximately 3 million homes and businesses in more than 1,400 communities in 8 states. We are an energetic and diverse workforce with a variety of skills, talents, backgrounds and experiences. Our employees take pride in the years of leadership and innovation they have contributed to our industry. 
Atmos Energy Corporation is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, age, national origin, disability, or veteran status. All applicants are encouraged to apply online at www.atmosenergy.com/careers   ",http://www.atmosenergy.com,None,
Ford Motor Company,Automotive,"Ford is a global company with shared ideals and a deep sense of family. From our earliest days as a pioneer of modern transportation, we have sought to make the world a better place – one that benefits lives, communities and the planet. We are here to provide the means for every person to move and pursue their dreams, serving as a bridge between personal freedom and the future of mobility. In that pursuit, our 186,000 employees around the world help to set the pace of innovation every day. For more information regarding Ford, its products, and Ford Motor Credit Company, please visit corporate.ford.com.",http://www.careers.ford.com,Process Coaches; Engineering Specialists,"Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Athena Engineering and Environmental,Civil Engineering,"Athena, formerly KS Ware and Associates, is a certified woman-owned small business. We hold national indefinite delivery contracts with the U.S. Army Corps of Engineers, National Aeronautics and Space Administration, Natural Resources Conservation Service, the Tennessee Department of Transportation, and the Tennessee Valley Authority.
We provide outstanding solutions through rewarding partnerships with firms and professionals who share our dedication to the success of our clients, our community, and our employees.  
We provide outstanding solutions through rewarding partnerships with firms and professionals who share our dedication to the success of our clients, our community, and our employees.  

",https://athenaee.com,None,
Tronox Holdings plc,Manufacturing,"As a vertically integrated producer of titanium dioxide and inorganic chemicals, Tronox mines and processes titanium ore, zircon and other materials and manufactures titanium dioxide pigment, specialty-grade titanium dioxide products and high-purity titanium chemicals. Our products add brightness and durability to paints, plastics, paper and other everyday products. 

Our nearly 6,500 employees across six continents have an uncompromising focus on operating safe, reliable and responsible facilities. This focus combined with our rich diversity, unmatched vertical integration model, and unparalleled operational and technical expertise across the value chain, positions Tronox as the preeminent titanium dioxide producer in the world.

",https://www.tronox.com/,Process Engineer,"Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Manufacturing, Mechanical Engineering"
Arcosa Inc,Manufacturing,"Arcosa, Inc. is a provider of infrastructure-related products and solutions including engineered structures.
Meyer Utility Structures, an Arcosa subsidiary, is an industry leader in the engineering design and fabrication of concrete, lattice, and tubular steel structures for transmission, distribution, and substation applications. With over sixty years of innovative engineering and manufacturing expertise, Meyer has helped to author and validate many of today’s transmission industry standards.",http://www.arcosa.com,Structural Design Engineer,
"Chad Stewart & Associates, Inc.",Engineering & Construction,"CSA Engineering is a full service structural, mechanical, and electrical consulting firm dedicated to outstanding customer service, innovative design, and cutting-edge technology. CSA has been providing comprehensive structural engineering services to clients nationwide since 2004 and added electrical engineering in 2016, and mechanical in 2021.  Our courteous and professional design staff consists of licensed professional engineers and engineering interns with over 95 years of collective experience which allows us to provide the expertise our clients demand. ",http://www.csaengineeringinc.com,"Electrical Enginer, Structural Engineer, Mechanical Engineer",
TOYOTA,Automotive,"Collaborative. Respectful. A place to dream and do. These are just a few words that describe what life is like at Toyota. As one of the world’s most admired brands, Toyota is growing and leading the future of mobility through innovative, high-quality solutions designed to enhance lives and delight those we serve. We’re looking for diverse, talented students who want to grow and challenge what’s possible with us.",https://www.toyota.com/careers,2024 Toyota Co-op/Internship Program,"Chemical Engineering, Civil Engineering, Computational Hydroscience, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Fluid Engineering Incorporated,Other Industries,"Fluid Engineering is a Technical Sales Firm providing industrial equipment, systems and engineering to industries like Chemical Process, Mineral, Mining, Agricultural, Foundry, Steel, Automotive, Pulp & Paper, Power Generation, Maritime & Shipbuilding, Oil & Gas, Food & Dairy, and many other industries.  The core business of the company is related to the application of industrial process equipment such as pumps, dust collectors, scrubbers, industrial fans, bulk material handling, explosion prevention and pneumatic conveying. The company currently maintains 8 offices in the southeast. The growing company was founded in 1992 and is headquartered in Birmingham, Alabama. ",http://www.fluid-eng.com,"Applications Engineer, Sales Engineer (Outside Sales)",
"Applied Research Associates, Inc. (ARA)",Scientific and Technical Consulting,"Applied Research Associates, Inc. is an employee-owned international research and engineering company recognized for providing technically superior solutions to complex and challenging problems in the physical sciences. The company, founded in Albuquerque, NM, in 1979, currently employs over 1,700 professionals and continues to grow. ARA offices throughout the United States and Canada provide a broad range of technical expertise in defense technologies, civil technologies, computer software and simulation, systems analysis, environmental technologies, and testing and measurement. The corporation also provides sophisticated technical products for environmental site characterization, pavement analysis, and robotics.",https://www.ara.com,"Protective Design Engineer, Engineer Intern ","Aeroacoustics, Civil Engineering, Computational Hydroscience, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Arkansas Department of Health - Engineering Section,"Government - Local, State & Federal","Public Health Agency.  Engineering Section responsible for the oversight of public drinking water systems in Arkansas. The Engineering Section consists of over 70 engineers, scientists, data management and administrative personnel, all located in the Department of Health's Central Office in Little Rock.  Staff engineer salaries range $57,755 to $90,600 per year.
",http://www.healthy.arkansas.gov/eng,Engineer or Engineer P.E.,"Chemical Engineering, Civil Engineering, Computational Hydroscience, Electrical Engineering, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, Environmental Engineering, General Engineering, Major - Mechanical Engineering, Math for School of Engineering, Mechanical Engineering"
Entergy,Utilities and Renewable Energy,"Entergy Corporation is an integrated energy company engaged primarily in electric power production and retail distribution operations. Entergy owns and operates power plants with approximately 30,000 megawatts of electric generating capacity, including nearly 10,000 megawatts of nuclear power, making it one of the nation’s leading nuclear generators.  Waterford 3 located in Southeast Louisiana is one of these generating plants.

Entergy delivers electricity to 2.8 million utility customers in Arkansas, Louisiana, Mississippi and Texas. Entergy has annual revenues of more than $12 billion and approximately 13,000 employees.",http://jobs@entergy.com,None,"Chemical Engineering, Civil Engineering, Computational Hydroscience, Computer Engineering, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
"Plaskolite, LLC",Manufacturing,"Established in 1950, Plaskolite's first successes were in production of hula-hoops, flyswatters, and fluorescent lighting panels. Now, Plaskolite is North America’s leading manufacturer of thermoplastic sheet. Our mission is to deliver superior thermoplastic sheet, coatings, and polymers to the world through long-lasting customer relationships and hands-on customer service. Plaskolite is now a member of Pritzker Private Capital, which partners with middle-market companies based in North America with leading positions in the manufactured products, services, and healthcare sectors. Visit www.plaskolite.com/about for more info.
 ",http://www.plaskolite.com,None,"Chemical Engineering, Computational Hydroscience, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, General Engineering, Major - Mechanical Engineering, Manufacturing, Materials, Materials Science and Engr., Math for School of Engineering, Mechanical Engineering"
Contract Fabricators Inc.,Other Industries,"Contract Fabricators provides quality pressure vessels, reactors, reactor internals and components to industrial sites around the world. CFI's customer base is comprised of numerous Fortune 100 companies, including Exxon Mobil, Chevron, Phillips 66, Valero, Marathon, and Conoco Phillips. With over 30 years of engineering and fabrication experience, CFI is committed to providing superior service by being the best in class in all aspects of service and interface.",http://www.contractfab.com,Project Engineer/Project Manager,
Jackson Energy Authority,Utilities and Renewable Energy,"Jackson Energy Authority (JEA) is a public utility created under a private act passed by the Tennessee Legislature.  JEA is one of few public utilities in the United States offering customers all major utility services from one company. We provide reliable electric, gas, propane, water, wastewater, and broadband services. We serve approximately 40,000 residential, business, and industrial customers in Jackson, TN, and parts of Madison County. 
",http://www.jaxenergy.com,None,"Civil Engineering, Computational Hydroscience, Electrical Engineering, Environmental Engineering, Major - Mechanical Engineering, Mechanical Engineering"
"Schoel Engineering Company, Inc.",Civil Engineering,"Schoel is a leading land-development services firm in the Southeastern United States and a multidisciplinary provider of civil engineering, land surveying, water resources engineering, environmental permitting and inspection, laser scanning and modeling, metrology, utility infrastructure, land planning, and landscape architecture services. Innovation supports our principal-led teams to ensure technical excellence and superior service across all sectors.",https://schoel.com,"Co-op Civil Engineering , Internship Civil Engineering ",
Epic,Internet & Software,"As a global leader in the development of software for healthcare organizations, Epic is driving change for an entire industry – one that affects the quality of life for everyone. Our team collaborates with some of the world’s most respected healthcare organizations to improve both individual patient care and the health of entire communities. The challenges we tackle on a day-to-day basis impact the lives of more than 300 million patients worldwide. We're searching for smart, passionate people who want to achieve great things. If you want to be part of something truly important, consider a career at Epic.",https://www.careers.epic.com,"Project Manager, Quality Manager, Trainer, Integration Engineer, Technical Solutions Engineer, Software Developer","Accelerated Law (3+3), Acc  General Finance, Accl BSN Jx, Accl BSN Ox, Accountancy, Acting for Stage and Screen, Aeroacoustics, African American Studies, Air and Space Law, Allied Health Studes, Allied Health Studies, Anthropology, Applied Gerontology, Applied Linguistics, Applied linguistics and TESOL, Arabic, Art, Art History, Banking and Finance, Biochemistry, Bioinformatics, Biological Science, Biology, BioMedical, Biomedical Engineering, BM Music, Business, Business (15 hours), Business Administration, Business Law, Business Studies Option 1, Campus MBA Program, Chemical Engineering, Chemistry, Child Nutrition, Chinese, Choral Conducting, Civil Engineering, Classical Civilization, Classics, Clinical Laboratory Science, Clinical Mental Health Couns, Clinical Psychology, Communication Sciences and Disorders, Communication Sciences/Disorders, Communicative Disorders, Computational Hydroscience, Computer Engineering, Computer Science, Concentration - English, Concentration - Instrumental, Concentration - Math, Concentration - Social Studies, Conc - Thematic - Intl Gov & Politics, Corrections, Counselor Education, Creative Writing, Criminal Justice, Criminal Law, Curriculum And Instruction, Curriculum for B. Accy. in Accountancy, Dental Hygiene (2 +2), Dentristry, Dietetics, Dietetics and Nurtition, Dietetics and Nutrition, Digital Arts, Digital Communications, Digital Marketing Strategy, Digital Media Studies, Documentary Expression, Early Childhood Education, Economics, Ed. D. in Education, Education, Educational Leadership, Educational Leadership K12, Education Leadership (K-12), Education Specialist in C&I, Edu Leadership (K-12) Online, Electrical Engineering, Elementary Education, Elementary Education Online, Elementry Education, Engineering, Engineering Non-Degree, Engineering Science, Engineering Undecided, English, English Education, English Education Engl Ed, Entrepreneurship, Environmental Engineering, Environmental Studies, Event Management, Exercise Science, Experimental Psychology, Film Production, Finance, Fine Arts, Food and Nutrition Services, Food Service, Forensic Chemistry, French, Freshman Studies, Freshman Studiesdies, Freshman Studies Interest Areas, General Business, General Engineering, General Hospitality Mgmt, General Program, General Studies, General Studies Undecided, Geological Engineering, Geological Entineering, Geology, German, Global Supply Chain Mgmt., Graduate Non-Degree, Health Administration, Health and Kinesiology, Health and Physical Education, Health Care Management, Health & Human Services, Health Information Management, Health Information Mgmt (2 +2), Health Pre-Professional, Health Promotion, Health Sciences, Higher Ed/Student Personnel, Higher Education, Higher Education Online, Higher Educ/Student Personnel, History, Homeland Security, Hospitality Management, Human Resource, Human Resource Management, Hydrology, IMC Residential Program, Industrial Pharmacy, Instrumental, Integrated Marketing and Communications, Integrated Marketing Comm, Integrated Marketing Communicat, Integrated Marketing Communications, International Studies, Journalism, Journalism Broadcast, Journalism News-editorial, Juris Doctor Law, Keyboard, Korean, Languages, Latin, Law Enforcement, Law Studies, Legal Studies, Liberal Arts Non-Degree, Liberal Studies, Linguistics, Major - Math Education, Major - Mathematics, Major - Mechanical Engineering, Major - Medical Technology, Major - Modern Languages, Major - Music, Major - Nursing (2+2), Major - Nutrition and Hospitality Mgmt, Major - Pharmaceutical Sciences, Major - Pharm D -  Pharm Prct Track, Major - Philosophy, Major - Physics, Major - Political Science, Major - Psychology, Major - Public Health & Health Sciences, Major - Public Policy Leadership, Major - Radiological Science (2+2), Major - Real Estate, Major - Risk Management and Insurance, Major - Science Education, Major - Second Language Studies, Major - Social Studies Education, Major - Social Welfare, Major - Social Work, Management, Management Information Systems, Managerial Finance, Manufacturing, Marketing, Marketing and Commun. Strategy, Marketing & Corporate Relations, Master of Accy. & Data Analytics, Materials, Materials Science and Engr., Math, Math Education, Mathematics, Math for School of Engineering, Mathmatics, Mechanical Engineering, Medical Laboratory Science (2+2), Medical Technology, Medicinal Chemistry, MIS, Modern Languages, Multi-Disciplinary Studies, Music, Music Education, Music Performance, Nursing, Nursing (2 +2), Nursing (2+2), Nutrition and Hospitality Mgmt, Occupational Therapy (2 +3), Option - Baritone, Option - Trumpet, Painting, Paralegal, Paralegal Studies, Pharmaceutical Sciences, Pharmaceutics, Pharmacognosy, Pharmacology, Pharmacy, Pharmacy Administration, Pharm D, Pharm D -  Pharm Prct Track, Philosophy, Physics, Play Therapy, Political Science, Pre-Law, Pre-Med Studies, Pre Occupational Therapy, Pre-Pharmcy, Printmaking, Program Evaluation, Psychology, Public Health & Health Sciences, Public Policy Leadership, Radiological Science, Radiological Science (2+2), Real Estate, Recreation Administration, Religious Studies, Rhetoric, Risk Management And Insurance, Russian, Sales, School Counseling, Science, Science Education, Secondary Chemistry Education, Secondary Education, Secondary Education - English, Second Language Studies, Sexuality/Queer Studies, Social Studies, Social Studies Education, Social Welfare, Social Work, Sociology, Southern Studies, Spanis, Spanish, Spec Ed EmD Certificate, Spec Education, Special Education, Specialization - Biology, Specialization - English, Specialization - Health Communication, Specialization - Language Arts/Reading, Specialization - Magazine Publish & Mgmt, Specialization - Math, Specialization - Media Sales and Mgmt, Specialization - Public Relations, Specialization - Science/Biology, Specialization - Social Studies, Specialization - Sports Comm & Promotion, Specialization - Visual Design, Sport Administration, Sport and Recreation Admin, Sport & Entertainment, Sports and Recreation Administration, Standard Option, Taxation, Taxation and Data Analytics, Teaching, Telecommunications, TESL Certificate, TESOL Certificate, Theatre, Theatre Acting, Track - Computer Language, Track - Foreign Language, Trad BSN, Undeclared, University Studies, Vocal"
Sasol Chemicals (USA) Corporation,Energy,"Sasol Chemicals is a solutions provider focused on sustainability, circularity and specialties. It fulfills its purpose of ""innovating for a better world"" by offering a broad, state-of-the-art portfolio of specialty and commodity chemicals for a wide range of applications and industries. 

",https://www.sasol.com/,None,"Chemical Engineering, Chemistry, Forensic Chemistry, Medicinal Chemistry, Science, Secondary Chemistry Education"
Trustmark National Bank,Investment Banking,"Kick-start your technical career with Trustmark! We offer Co-Op and Technical Development Associate programs in Business Intelligence, Data Analysis, Cyber Security, Network Engineering, and Application development.  Our programs provide opportunities for 1:1 mentorship, hands-on experience in a team-based environment,  industry-specific seminars, community involvement, and exposure to senior leadership. To apply, visit www.trustmark.com/careers.  

Equal Housing Lender | Member FDIC
Equal Opportunity Employer/Females/Minorities/Individuals with Disabilities/Protected Veterans
",https://www.trustmark.com/,"IT Development Associate - Applications, Infrastructure, Cyber Security, Business Intelligence; Co-Op Program; Data Analytics, Data Modeling","Acc  General Finance, Accountancy, Banking and Finance, Bioinformatics, Business, Business Studies Option 1, Computer Engineering, Computer Science, Curriculum for B. Accy. in Accountancy, Economics, Finance, Keyboard, Major - Mathematics, Major - Risk Management and Insurance, Management Information Systems, Managerial Finance, Master of Accy. & Data Analytics, Math, Mathematics, Math for School of Engineering, Mathmatics, MIS, Risk Management And Insurance, Specialization - Math, Taxation, Taxation and Data Analytics, Telecommunications, Track - Computer Language"
